Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2012 08 07;27.6;34.8;20.4;14.4
2012 08 08;28.3;37.3;22.6;14.7
2012 08 09;26.3;36.7;18.8;17.9
2012 08 10;25;31.3;18;13.3
2012 08 11;28.1;36.7;19.9;16.8
2012 08 12;33.5;42.1;25.1;17
2012 08 13;35.8;45;28.5;16.5
2012 08 14;36.1;43.5;28;15.5
2012 08 15;34.5;42.6;26.6;16
2012 08 16;31;41.3;22.7;18.6
2012 08 17;31.4;41.8;22.5;19.3
2012 08 18;33.1;43.6;25.1;18.5
2012 08 19;31.6;42.3;24;18.3
2012 08 20;28.9;37;20.8;16.2
2012 08 21;27.7;35.8;21;14.8
2012 08 22;29;37;21.5;15.5
2012 08 23;32.1;38.8;24.1;14.7
2012 08 24;35.4;42.1;27.4;14.7
2012 08 25;33;40.8;27.1;13.7
2012 08 26;27.5;34.8;17.8;17
2012 08 27;32.1;44.5;25;19.5
2012 08 28;32.8;42.8;24.8;18
2012 08 29;31.8;43.9;22.8;21.1
2012 08 30;32.7;44.8;23.6;21.2
2012 08 31;28.8;41.1;19;22.1
2012 09 01;29.7;43.2;20.4;22.8
2012 09 02;31.6;38.5;26.1;12.4
2012 09 03;30.2;38.3;21.3;17
2012 09 04;30.4;37.9;22.9;15
2012 09 05;31.1;37;25;12
2012 09 06;30.1;37.3;24.3;13
2012 09 07;29.8;36.9;22;14.9
2012 09 08;31.8;37.6;25.1;12.5
2012 09 09;33.4;39.3;27.4;11.9
2012 09 10;34.2;40.4;26.9;13.5
2012 09 11;34.5;41;29.3;11.7
2012 09 12;32.2;44.2;24.4;19.8
2012 09 13;28.6;40.8;21.8;19
2012 09 14;31.4;45.5;20.9;24.6
2012 09 15;33.1;42.2;26.4;15.8
2012 09 16;33.2;43.5;24.1;19.4
2012 09 17;35.3;44.2;27.4;16.8
2012 09 18;36.5;45.1;28;17.1
2012 09 19;34.8;43.4;27.6;15.8
2012 09 20;31.9;38.9;24.4;14.5
2012 09 21;33.3;43.4;26.1;17.3
2012 09 22;33.4;40.4;25.8;14.6
2012 09 23;36.3;45.7;28;17.7
2012 09 24;33.9;41.4;26.5;14.9
2012 09 25;35.4;46.9;25.2;21.7
2012 09 26;38.3;49.1;28.1;21
2012 09 27;31.7;41.3;21.9;19.4
2012 09 28;39.2;53.4;25.5;27.9
